userID,gameID,prediction
u04763917,g51093074,2.7884660408609356
u10668484,g42523222,1.9224831563977378
u82502949,g39422502,3.3951225186721046
u14336188,g83517324,2.9246471414557647
u10096161,g10962300,3.221659910645356
u12864301,g29951417,1.6026484651443609
u74352605,g88258978,1.2213511667746557
u75043948,g25417282,3.1327330870597407
u29296791,g59132435,3.763476060975453
u25398433,g78239118,3.616136268985289
u84764376,g73199890,2.836375628553985
u09616615,g92522857,2.7594470022519513
u10691163,g32680601,3.4963196590741936
u38429458,g70782977,3.792385310776184
u26986311,g06045292,3.2064335337504946
u65289967,g65794132,2.3562610113689813
u87979266,g89122297,3.3202998420148218
u05311714,g82220080,3.8657797072849074
u78011182,g05463839,3.0763202473656825
u34020914,g67139666,2.739400055690028
u62855536,g54634449,2.9088260361661558
u55833077,g88735741,3.936949215148312
u24787553,g63858284,2.5878058255206264
u90805846,g78518895,2.8726746012335886
u83707320,g02273341,3.6494306599764763
u20383715,g05349653,3.4790349774194245
u29006683,g78139956,2.8893404280359234
u71367785,g24982722,2.9925651888657803
u04109297,g92694999,2.361967316507161
u20230969,g71624193,2.579561546445094
u37438991,g82994209,2.6050960949244435
u21174368,g82668863,2.494819310946815
u03586135,g66197269,3.137143512081598
u15832377,g57834425,3.3072439079863423
u60887184,g85840895,3.6096995410891264
u10763263,g16087475,2.2447094687973133
u24175693,g52437423,3.2117014348258217
u44150437,g59833534,2.8754156841966183
u24031173,g35155801,3.2145011631467613
u12741451,g16135457,3.124883591653706
u57709154,g46862476,2.661061072139474
u29258017,g68168423,2.881579469242924
u81408606,g84686560,2.261263904999593
u19089061,g91851682,2.5313755413688135
u73375206,g01392148,2.229715144284714
u51732970,g09480895,2.5606860723912237
u90857197,g57791098,3.693919632886639
u29991534,g74380807,3.8309633995325156
u22769746,g29741733,3.400314587276196
u71039405,g68576907,2.9337533914284752
u69685717,g67274965,3.2656672705724636
u79638535,g29091141,3.632119614739212
u15856655,g48289742,3.139724041000013
u52155642,g34491894,2.9565301294832733
u08348857,g75348396,2.002352156008294
u76615183,g16903439,3.1366881313255632
u06363461,g00785638,3.2266390469704107
u16745193,g47810653,3.487675983246542
u23967443,g17807252,2.3369140601398057
u26638181,g73199890,2.7668586745885926
u37208609,g54634449,3.043188693404427
u51641312,g87912242,2.9960409778876134
u39462514,g59027363,3.0819067831462235
u75733314,g49445983,3.928234930035695
u75148448,g60355697,1.7745886118635972
u32200747,g70274773,3.10523462680091
u94793879,g88406710,1.8613563547813583
u13846553,g45685155,3.529498457366996
u17863042,g61310716,3.0071686856499023
u92300468,g58854798,2.7648099664917702
u26771241,g88161192,2.953553228137834
u36252269,g17210393,3.386392699267425
u66968893,g32642694,3.196506630615672
u41619073,g69033010,3.0882229855795704
u45751008,g99544321,3.9567783701560604
u53708896,g68559005,3.4588597369424727
u65902873,g13451594,3.3663778466205323
u39310994,g23109078,3.0025700430832742
u85987227,g09929422,3.4500122426636723
u21721881,g08493444,3.334436237263128
u85850085,g69033010,3.1060834159136945
u61057221,g23131507,3.299127984622277
u76302774,g09670581,2.283346857010186
u12301728,g83093985,1.7044832759142596
u91634610,g11862712,2.910108071068275
u70076452,g66187454,3.318046551240596
u14595674,g71690287,3.4748655703737423
u70647035,g59132435,3.4639503687338538
u49227907,g75591774,3.430537225673267
u47732229,g00602342,2.8648648352134267
u52520551,g06849398,2.9193029992422663
u95251001,g14806591,3.039882124188123
u84178019,g86430125,2.8853705151205684
u08176900,g65794132,3.139766783616619
u76404562,g54506405,3.7400998305481425
u26095980,g95560020,2.9820115956613478
u97592278,g11225866,3.062827499625495
u44785008,g57734956,2.575788247793882
u87047715,g47087082,3.185224847191105
u90350768,g40551467,3.6459260285092268
u40158774,g91479688,2.7023128160282934
u29320534,g29752784,3.2674865669401525
u38690724,g46527418,3.090381950210586
u30465751,g63715049,3.714317630359667
u70160453,g10773791,3.6690988390204815
u73988548,g78139956,3.3922141573044495
u95764184,g40266442,3.1648226388706098
u48087366,g75730019,3.188244223166489
u35368986,g10946181,3.337685982294541
u04763917,g94497006,2.788465809112122
u70756776,g05894153,3.0133618057931764
u39281280,g68132896,2.8079618593930435
u93185343,g62819767,2.9264327300719004
u04114967,g15881340,2.0186971046194566
u74748141,g66678119,1.736784271196098
u15832377,g97767591,3.307243924488091
u72218324,g73792397,2.8912460361317587
u01903817,g36338988,2.3254271377582927
u92083302,g41031307,3.584611524244018
u33601253,g68959096,2.572666487653974
u48940192,g61264440,4.075121915912043
u55350279,g35444269,2.9937392807663965
u54965133,g06097413,3.030588438580468
u80028968,g41896919,3.88665282852174
u77135073,g15881340,3.594322786171155
u23546625,g03156676,3.304425699059386
u07229282,g17604638,3.063396568368326
u49423423,g75348396,2.3114680553734233
u04928040,g90538928,2.7513016221527025
u03233576,g01873417,2.9778908021977064
u01806590,g17361564,2.742810308047416
u01276399,g32819803,3.441777650746336
u19431743,g50444948,3.518854044181124
u30001051,g65794132,2.4155478492988554
u76404562,g02291184,3.740099830550468
